0 72233136 r9f0v100000 0 0 tencent 0 0 槑头槑脑 槑头槑脑＋搞笑＋励志＋宋晓峰＋霍云龙,唐艺兮＋没头没脑＋呆头呆脑,网络剧,喜剧 付滃 宋晓峰,霍云龙,唐艺兮,程野 内地 2016 8.5
0 16386208 2el3a4kg0000 0 0 tencent 0 0 大明疑案 古装,悬疑,剧情,普通话,内地 陈武建,陈武健 马昌钰,魏宗万,严顺开,张孝中 内地 2005 7.0
0 69848385 r9kbgg00000 0 0 tencent 0 0 惊世情仇 武侠,古装,普通话,爱情,内地,言情 雷瑞麟 黄海冰,吴廷烨,张伊菡,李耀景,林静,李耀敬 内地 2006 7.4
0 70420339 r917vvc0000 0 0 tencent 0 0 我的故乡晋察冀 战争,抗日,剧情,普通话,内地,军事,军旅,历史 马玉辉 孙涛,齐芳,文江,王强,杜旭东,阎学晶,魏积安,李迎旗,巴宁,徐小飒,战姿含,闫学晶,王红舟,陈姗姗,邓刚,王凯,徐飒,孟琳 内地 2013 7.4
0 12389703 r917qu00000 0 0 tencent 0 0 第一目标 悬疑,刑侦,普通话,内地,警匪,剧情,犯罪 刘庆梅 刘涛,陈刚,乔雪凤,牛军,刘涛（导演）,于恒,凌云,王刚,关少曾 内地 2013 7.2
1 69869576 1j0ha0ic0000 1 12 tencent 1 1 怒晴湘西 剧情,动作,科幻,剧情,动作,奇幻 费振翔 潘粤明,高伟光,辛芷蕾,曹卫宇,盛冠森 内地 2019 8.5
0 68788655 1gj3q6r00000 0 0 tencent 0 0 勇者胜 动作,爱情,战争,抗日,普通话,内地,剧情 孙文学 周一围,战菁一,尹铸胜,李茂,吕一,唐妤萌,梅俪儿,左金珠,王义钦,李德龙,王梁双全,米学东,梁静升 内地 2018 7.1
0 8296201 1daf0jug0000 1 0 yinhe 0 0 玄门大师 普通话,内地,玄幻,奇幻,青春,古装 梁胜权,黄俊文 佟梦实,王秀竹,裴子添,徐好,赵越,张雅卓,王佑硕,潘霜霜 内地 2018 7.4
0 12739318 r918v4c0000 0 0 tencent 0 0 守望爱情 普通话,内地,生活,剧情,守望爱情,爱情,家庭,都市 曾晓欣 吴越,刘之冰,张洪睿,高明,苗海忠,孔维,张鑫铭 内地 2005 7.5
0 37326264 r9182c40000 0 0 tencent 0 0 精卫填海 精卫填海,古装,奇幻,科幻,普通话,爱情,内地,女神,神怪,戏说历史,魔幻,言情,剧情,神话 羽笛,梁国冠 舒畅,李解,许还幻,颜丹晨,吴奇隆,徐少强,贾娅,路羽,张天舒 内地 2006 7.2
0 21450549 4gequrss0000 1 0 tencent 0 0 夜空中最闪亮的星 爱情,剧情,普通话,内地,偶像,青春,网剧 刘一志 黄子韬,吴倩,牛骏峰,曹曦月,小刘佳,陈亦飞,秦岚,张锦程,王劲松,魏大勋,赵奕欢 内地 2019 7.0
0 11032854 r9197lo0000 0 0 yinhe 0 0 琅琊榜 琅琊榜,古装,爱情,剧情,普通话,内地,型男,传奇,励志,宫斗,权谋,夺嫡,历史,偶像,宫廷,网络小说改编 孔笙,李雪 胡歌,刘涛,王凯,陈龙,黄维德,靳东,高鑫,吴磊,丁勇岱,刘敏涛,刘奕君,王劲松（演员）,张龄心,程皓枫,郭晓然,王永泉,周奇奇,王鸥,张棪琰,宁文彤,方晓莉,杨雨婷,谭希和,张晓谦 内地 2015 9.2
0 9688958 r918jas0000 0 0 tencent 0 0 走出国门 普通话,内地,剧情,都市,家庭 戚健 潘粤明,颜丹晨,巫迪文,任山 内地 2014 7.1
0 69826688 24mr1oso0000 1 0 yinhe 0 0 一不小心吃定你 内地,爱情,剧情,偶像,网剧,青春 张永生 万思维,梦秦 内地 2018 7.4
1 15284963 r9197g00000 0 8 tencent 1 1 我们的爱 我们的爱,都市剧,都市,家庭,普通话,婚姻,爱情,内地,型男,现实题材,生活,现代,言情 易寒 靳东,童蕾,潘虹,王芷璇,郑清文 内地 2017 7.2
0 19268555 r9191g80000 0 0 yinhe 0 0 邮差 普通话,内地,悬疑,剧情,谍战 何流,白杨 李幼斌,张粟,丁宁-演员,涩谷天马 内地 2016 7.5
0 34960259 36e27gbs0000 0 0 tencent 0 0 独立纵队 历史,战争,军事,三角恋,爱情,内地,女神,型男,怀旧,抗日,军旅,剧情,年代 王响伟,朱卫,吴国恩 王新军,秦海璐,李彩桦,许明虎,飞儿,申军谊,汪坚辛,蒋林静,杜志国,董彦麟,刘佩琦,冯恩鹤,余心恬,雷雷,刘晓龙,王缨灏,蒲利飞 内地 2012 7.4
